n	s	t	Delta	a	b
3	0.70	0.00	0.414352610931	0.141082171678	0.555434782609
3	0.70	0.01	0.424352610931	0.141082171678	0.565434782609
3	0.70	0.02	0.434352610931	0.141082171678	0.575434782609
3	0.70	0.03	0.444352610931	0.141082171678	0.585434782609
3	0.70	0.04	0.454352610931	0.141082171678	0.595434782609
3	0.75	0.00	0.454026523974	0.141082171678	0.595108695652
3	0.75	0.01	0.464026523974	0.141082171678	0.605108695652
3	0.75	0.02	0.474026523974	0.141082171678	0.615108695652
3	0.75	0.03	0.484026523974	0.141082171678	0.625108695652
3	0.75	0.04	0.494026523974	0.141082171678	0.635108695652
3	0.80	0.00	0.493700437018	0.141082171678	0.634782608696
3	0.80	0.01	0.503700437018	0.141082171678	0.644782608696
3	0.80	0.02	0.513700437018	0.141082171678	0.654782608696
3	0.80	0.03	0.523700437018	0.141082171678	0.664782608696
3	0.80	0.04	0.533700437018	0.141082171678	0.674782608696
3	0.85	0.00	0.533374350061	0.141082171678	0.674456521739
3	0.85	0.01	0.543374350061	0.141082171678	0.684456521739
3	0.85	0.02	0.553374350061	0.141082171678	0.694456521739
3	0.85	0.03	0.563374350061	0.141082171678	0.704456521739
3	0.85	0.04	0.573374350061	0.141082171678	0.714456521739
3	0.90	0.00	0.573048263105	0.141082171678	0.714130434783
3	0.90	0.01	0.583048263105	0.141082171678	0.724130434783
3	0.90	0.02	0.593048263105	0.141082171678	0.734130434783
3	0.90	0.03	0.603048263105	0.141082171678	0.744130434783
3	0.90	0.04	0.613048263105	0.141082171678	0.754130434783
3	0.95	0.00	0.612722176148	0.141082171678	0.753804347826
3	0.95	0.01	0.622722176148	0.141082171678	0.763804347826
3	0.95	0.02	0.632722176148	0.141082171678	0.773804347826
3	0.95	0.03	0.642722176148	0.141082171678	0.783804347826
3	0.95	0.04	0.652722176148	0.141082171678	0.793804347826
3	1.00	0.00	0.652396089192	0.141082171678	0.793478260870
3	1.00	0.01	0.660967517763	0.141082171678	0.802049689441
3	1.00	0.02	0.669538946335	0.141082171678	0.810621118012
3	1.00	0.03	0.678110374906	0.141082171678	0.819192546584
3	1.00	0.04	0.686681803477	0.141082171678	0.827763975155
4	0.70	0.00	0.407446738208	0.147988044401	0.555434782609
4	0.70	0.01	0.417446738208	0.147988044401	0.565434782609
4	0.70	0.02	0.427446738208	0.147988044401	0.575434782609
4	0.70	0.03	0.437446738208	0.147988044401	0.585434782609
4	0.70	0.04	0.447446738208	0.147988044401	0.595434782609
4	0.75	0.00	0.447120651251	0.147988044401	0.595108695652
4	0.75	0.01	0.457120651251	0.147988044401	0.605108695652
4	0.75	0.02	0.467120651251	0.147988044401	0.615108695652
4	0.75	0.03	0.477120651251	0.147988044401	0.625108695652
4	0.75	0.04	0.487120651251	0.147988044401	0.635108695652
4	0.80	0.00	0.486794564295	0.147988044401	0.634782608696
4	0.80	0.01	0.496794564295	0.147988044401	0.644782608696
4	0.80	0.02	0.506794564295	0.147988044401	0.654782608696
4	0.80	0.03	0.516794564295	0.147988044401	0.664782608696
4	0.80	0.04	0.526794564295	0.147988044401	0.674782608696
4	0.85	0.00	0.526468477338	0.147988044401	0.674456521739
4	0.85	0.01	0.536468477338	0.147988044401	0.684456521739
4	0.85	0.02	0.546468477338	0.147988044401	0.694456521739
4	0.85	0.03	0.556468477338	0.147988044401	0.704456521739
4	0.85	0.04	0.566468477338	0.147988044401	0.714456521739
4	0.90	0.00	0.566142390381	0.147988044401	0.714130434783
4	0.90	0.01	0.576142390381	0.147988044401	0.724130434783
4	0.90	0.02	0.586142390381	0.147988044401	0.734130434783
4	0.90	0.03	0.596142390381	0.147988044401	0.744130434783
4	0.90	0.04	0.606142390381	0.147988044401	0.754130434783
4	0.95	0.00	0.605816303425	0.147988044401	0.753804347826
4	0.95	0.01	0.615816303425	0.147988044401	0.763804347826
4	0.95	0.02	0.625816303425	0.147988044401	0.773804347826
4	0.95	0.03	0.635816303425	0.147988044401	0.783804347826
4	0.95	0.04	0.645816303425	0.147988044401	0.793804347826
4	1.00	0.00	0.645490216468	0.147988044401	0.793478260870
4	1.00	0.01	0.654061645040	0.147988044401	0.802049689441
4	1.00	0.02	0.662633073611	0.147988044401	0.810621118012
4	1.00	0.03	0.671204502183	0.147988044401	0.819192546584
4	1.00	0.04	0.679775930754	0.147988044401	0.827763975155
5	0.70	0.00	0.401613956225	0.153820826383	0.555434782609
5	0.70	0.01	0.411613956225	0.153820826383	0.565434782609
5	0.70	0.02	0.421613956225	0.153820826383	0.575434782609
5	0.70	0.03	0.431613956225	0.153820826383	0.585434782609
5	0.70	0.04	0.441613956225	0.153820826383	0.595434782609
5	0.75	0.00	0.441287869269	0.153820826383	0.595108695652
5	0.75	0.01	0.451287869269	0.153820826383	0.605108695652
5	0.75	0.02	0.461287869269	0.153820826383	0.615108695652
5	0.75	0.03	0.471287869269	0.153820826383	0.625108695652
5	0.75	0.04	0.481287869269	0.153820826383	0.635108695652
5	0.80	0.00	0.480961782312	0.153820826383	0.634782608696
5	0.80	0.01	0.490961782312	0.153820826383	0.644782608696
5	0.80	0.02	0.500961782312	0.153820826383	0.654782608696
5	0.80	0.03	0.510961782312	0.153820826383	0.664782608696
5	0.80	0.04	0.520961782312	0.153820826383	0.674782608696
5	0.85	0.00	0.520635695356	0.153820826383	0.674456521739
5	0.85	0.01	0.530635695356	0.153820826383	0.684456521739
5	0.85	0.02	0.540635695356	0.153820826383	0.694456521739
5	0.85	0.03	0.550635695356	0.153820826383	0.704456521739
5	0.85	0.04	0.560635695356	0.153820826383	0.714456521739
5	0.90	0.00	0.560309608399	0.153820826383	0.714130434783
