n,a_n
0,1
1,240
2,2160
3,6720
4,17520
5,30240
6,60480
7,82560
8,140400
9,181680
10,272160
11,319680
12,490560
13,527520
14,743040
15,846720
16,1123440
17,1179360
18,1635120
19,1646400
20,2207520
21,2311680
22,2877120
23,2920320
24,3931200
25,3780240
26,4747680
27,4905600
28,6026880
29,5853600
30,7620480
31,7150080
32,8987760
33,8951040
34,10614240
35,10402560
36,13262640
37,12156960
38,14817600
39,14770560
40,17690400
41,16541280
42,20805120
43,19081920
44,23336640
45,22891680
46,26282880
47,24917760
48,31456320
