S_micro	T_micro	diff	mA	mB	nA	nB
224000	-261381	110407	224000	-261381	1	1
224000	-260381	109636	224000	-260381	1	1
224000	-259381	108868	224000	-259381	1	1
224000	-258381	108104	224000	-258381	1	1
224000	-257381	107344	224000	-257381	1	1
224000	-256381	106588	224000	-256381	1	1
224000	-255381	105836	224000	-255381	1	1
224000	-254381	105088	224000	-254381	1	1
224000	-253381	104344	224000	-253381	1	1
224000	-252381	103605	224000	-252381	1	1
224000	-251381	102870	224000	-251381	1	1
224000	-250381	102139	224000	-250381	1	1
224000	-249381	101413	224000	-249381	1	1
224000	-248381	100692	224000	-248381	1	1
224000	-247381	99976	224000	-247381	1	1
224000	-246381	99264	224000	-246381	1	1
224000	-245381	98558	224000	-245381	1	1
224000	-244381	97856	224000	-244381	1	1
224000	-243381	97160	224000	-243381	1	1
224000	-242381	96469	224000	-242381	1	1
224000	-241381	95784	224000	-241381	1	1
224000	-240381	95104	224000	-240381	1	1
224000	-239381	94430	224000	-239381	1	1
224000	-238381	93762	224000	-238381	1	1
224000	-237381	93100	224000	-237381	1	1
224000	-236381	92443	224000	-236381	1	1
224000	-235381	91793	224000	-235381	1	1
224000	-234381	91150	224000	-234381	1	1
224000	-233381	90512	224000	-233381	1	1
224000	-232381	89882	224000	-232381	1	1
224000	-231381	89258	224000	-231381	1	1
224000	-230381	88641	224000	-230381	1	1
224000	-229381	88031	224000	-229381	1	1
224000	-228381	87428	224000	-228381	1	1
224000	-227381	86833	224000	-227381	1	1
224000	-226381	86245	224000	-226381	1	1
224000	-225381	85664	224000	-225381	1	1
224000	-224381	85092	224000	-224381	1	1
224000	-223381	84527	224000	-223381	1	1
224000	-222381	83971	224000	-222381	1	1
224000	-221381	83423	224000	-221381	1	1
224000	-220381	82883	224000	-220381	1	1
224000	-219381	82352	224000	-219381	1	1
224000	-218381	81830	224000	-218381	1	1
224000	-217381	81316	224000	-217381	1	1
224000	-216381	80812	224000	-216381	1	1
224000	-215381	80317	224000	-215381	1	1
224000	-214381	79831	224000	-214381	1	1
224000	-213381	79355	224000	-213381	1	1
224000	-212381	78889	224000	-212381	1	1
224000	-211381	78433	224000	-211381	1	1
224000	-210381	77987	224000	-210381	1	1
224000	-209381	77551	224000	-209381	1	1
224000	-208381	77126	224000	-208381	1	1
224000	-207381	76712	224000	-207381	1	1
224000	-206381	76308	224000	-206381	1	1
224000	-205381	75916	224000	-205381	1	1
224000	-204381	75534	224000	-204381	1	1
224000	-203381	75164	224000	-203381	1	1
224000	-202381	74806	224000	-202381	1	1
224000	-201381	74459	224000	-201381	1	1
224000	-200381	74124	224000	-200381	1	1
224000	-199381	73801	224000	-199381	1	1
224000	-198381	73490	224000	-198381	1	1
224000	-197381	73192	224000	-197381	1	1
224000	-196381	72906	224000	-196381	1	1
224000	-195381	72633	224000	-195381	1	1
224000	-194381	72373	224000	-194381	1	1
224000	-193381	72125	224000	-193381	1	1
224000	-192381	71891	224000	-192381	1	1
224000	-191381	71669	224000	-191381	1	1
224000	-190381	71461	224000	-190381	1	1
224000	-189381	71267	224000	-189381	1	1
224000	-188381	71086	224000	-188381	1	1
224000	-187381	70919	224000	-187381	1	1
224000	-186381	70765	224000	-186381	1	1
224000	-185381	70625	224000	-185381	1	1
224000	-184381	70499	224000	-184381	1	1
224000	-183381	70388	224000	-183381	1	1
224000	-182381	70290	224000	-182381	1	1
224000	-181381	70206	224000	-181381	1	1
224000	-180381	70136	224000	-180381	1	1
224000	-179381	70081	224000	-179381	1	1
224000	-178381	70040	224000	-178381	1	1
224000	-177381	70013	224000	-177381	1	1
224000	-176381	70001	224000	-176381	1	1
224000	-175381	70002	224000	-175381	1	1
224000	-174381	70018	224000	-174381	1	1
224000	-173381	70048	224000	-173381	1	1
224000	-172381	70093	224000	-172381	1	1
224000	-171381	70152	224000	-171381	1	1
224000	-170381	70225	224000	-170381	1	1
224000	-169381	70312	224000	-169381	1	1
224000	-168381	70413	224000	-168381	1	1
224000	-167381	70528	224000	-167381	1	1
224000	-166381	70657	224000	-166381	1	1
224000	-165381	70800	224000	-165381	1	1
224000	-164381	70957	224000	-164381	1	1
224000	-163381	71128	224000	-163381	1	1
224000	-162381	71312	224000	-162381	1	1
224000	-161381	71510	224000	-161381	1	1
224000	-160381	71721	224000	-160381	1	1
224000	-159381	71945	224000	-159381	1	1
224000	-158381	72183	224000	-158381	1	1
224000	-157381	72433	224000	-157381	1	1
224000	-156381	72697	224000	-156381	1	1
224000	-155381	72973	224000	-155381	1	1
