S_micro\tT_micro\tdiff\tbasin
S_micro	T_micro	diff	0
264000	-218000	51613	0
264000	-217000	50803	0
264000	-216000	50000	0
264000	-215000	49203	0
264000	-214000	48414	0
264000	-213000	47634	0
264000	-212000	46861	0
264000	-211000	46097	0
264000	-210000	45343	0
264000	-209000	44598	0
264000	-208000	43863	0
264000	-207000	43139	0
264000	-206000	42426	0
264000	-205000	41725	0
264000	-204000	41036	0
264000	-203000	40360	0
264000	-202000	39698	0
264000	-201000	39051	0
264000	-200000	38418	0
264000	-199000	37802	0
264000	-198000	37202	0
264000	-197000	36619	0
264000	-196000	36055	0
264000	-195000	35510	0
264000	-194000	34985	0
264000	-193000	34481	0
264000	-192000	34000	0
264000	-191000	33541	0
264000	-190000	33105	0
264000	-189000	32695	0
264000	-188000	32310	0
264000	-187000	31953	0
264000	-186000	31622	0
264000	-185000	31320	0
264000	-184000	31048	0
264000	-183000	30805	0
264000	-182000	30594	0
264000	-181000	30413	0
264000	-180000	30265	0
264000	-179000	30149	0
264000	-178000	30066	0
264000	-177000	30016	0
264000	-176000	30000	0
264000	-175000	30016	0
264000	-174000	30066	0
264000	-173000	30149	0
264000	-172000	30265	0
264000	-171000	30413	0
264000	-170000	30594	0
264000	-169000	30805	0
264000	-168000	31048	0
264000	-167000	31320	0
264000	-166000	31622	0
264000	-165000	31953	0
264000	-164000	32310	0
264000	-163000	32695	0
264000	-162000	33105	0
264000	-161000	33541	0
264000	-160000	34000	0
264000	-159000	34481	0
264000	-158000	34985	0
264000	-157000	35510	0
264000	-156000	36055	0
264000	-155000	36619	0
264000	-154000	37202	0
264000	-153000	37802	0
264000	-152000	38418	0
264000	-151000	39051	0
264000	-150000	39698	0
264000	-149000	40360	0
264000	-148000	41036	0
264000	-147000	41725	0
264000	-146000	42426	0
265000	-218000	51039	0
265000	-217000	50219	0
265000	-216000	49406	0
265000	-215000	48600	0
265000	-214000	47801	0
265000	-213000	47010	0
265000	-212000	46227	0
265000	-211000	45453	0
265000	-210000	44687	0
265000	-209000	43931	0
265000	-208000	43185	0
265000	-207000	42449	0
265000	-206000	41725	0
265000	-205000	41012	0
265000	-204000	40311	0
265000	-203000	39623	0
265000	-202000	38948	0
265000	-201000	38288	0
265000	-200000	37643	0
265000	-199000	37013	0
265000	-198000	36400	0
265000	-197000	35805	0
265000	-196000	35227	0
265000	-195000	34669	0
265000	-194000	34132	0
265000	-193000	33615	0
265000	-192000	33120	0
265000	-191000	32649	0
265000	-190000	32202	0
265000	-189000	31780	0
265000	-188000	31384	0
265000	-187000	31016	0
265000	-186000	30675	0
265000	-185000	30364	0
265000	-184000	30083	0
265000	-183000	29832	0
265000	-182000	29614	0
265000	-181000	29427	0
265000	-180000	29274	0
265000	-179000	29154	0
265000	-178000	29068	0
265000	-177000	29017	0
265000	-176000	29000	0
265000	-175000	29017	0
265000	-174000	29068	0
265000	-173000	29154	0
265000	-172000	29274	0
265000	-171000	29427	0
265000	-170000	29614	0
265000	-169000	29832	0
265000	-168000	30083	0
265000	-167000	30364	0
265000	-166000	30675	0
265000	-165000	31016	0
265000	-164000	31384	0
265000	-163000	31780	0
265000	-162000	32202	0
265000	-161000	32649	0
265000	-160000	33120	0
265000	-159000	33615	0
265000	-158000	34132	0
265000	-157000	34669	0
265000	-156000	35227	0
265000	-155000	35805	0
265000	-154000	36400	0
265000	-153000	37013	0
265000	-152000	37643	0
265000	-151000	38288	0
265000	-150000	38948	0
265000	-149000	39623	0
265000	-148000	40311	0
265000	-147000	41012	0
265000	-146000	41725	0
266000	-218000	50477	0
266000	-217000	49648	0
266000	-216000	48826	0
266000	-215000	48010	0
266000	-214000	47201	0
266000	-213000	46400	0
266000	-212000	45607	0
266000	-211000	44821	0
266000	-210000	44045	0
266000	-209000	43278	0
266000	-208000	42520	0
266000	-207000	41773	0
266000	-206000	41036	0
266000	-205000	40311	0
266000	-204000	39597	0
266000	-203000	38897	0
266000	-202000	38209	0
266000	-201000	37536	0
266000	-200000	36878	0
266000	-199000	36235	0
266000	-198000	35608	0
266000	-197000	35000	0
266000	-196000	34409	0
266000	-195000	33837	0
266000	-194000	33286	0
266000	-193000	32756	0
266000	-192000	32249	0
266000	-191000	31764	0
266000	-190000	31304	0
266000	-189000	30870	0
266000	-188000	30463	0
266000	-187000	30083	0
266000	-186000	29732	0
266000	-185000	29410	0
266000	-184000	29120	0
266000	-183000	28861	0
266000	-182000	28635	0
266000	-181000	28442	0
266000	-180000	28284	0
266000	-179000	28160	0
266000	-178000	28071	0
266000	-177000	28017	0
266000	-176000	28000	0
266000	-175000	28017	0
266000	-174000	28071	0
