N_decade	k_bin	count	mean_of_mean_r
1	64	1	0.165203
1	88	2	0.1731885
1	96	1	0.122707
2	60	5	0.1875136
2	64	5	0.1846876
2	68	3	0.1860626666666666
2	72	3	0.1662733333333334
2	76	3	0.201637
2	80	6	0.1794251666666667
2	84	5	0.182655
2	88	2	0.173307
2	92	5	0.1778366
2	96	3	0.166097
3	60	4	0.15373725
3	64	3	0.1646556666666667
3	68	5	0.183902
3	72	3	0.1927513333333334
3	76	3	0.1922263333333333
3	80	5	0.1847978
3	84	6	0.1916425
3	88	3	0.165398
3	92	5	0.192093
3	96	3	0.1979123333333333
4	56	2	0.185191
4	60	4	0.1642575
4	68	3	0.1884833333333333
4	72	3	0.182289
4	76	1	0.20815
5	4	1	0.59673
5	8	1	0.220488
5	20	1	0.168447
5	24	1	0.171188
5	32	1	0.213316
5	36	1	0.142124
5	52	2	0.1625415
5	56	6	0.1936876666666667
5	60	9	0.1774178888888888
5	64	32	0.1642816875
5	68	33	0.1681459999999999
5	72	28	0.1588734285714286
5	76	24	0.1657696666666666
5	80	28	0.1716061428571429
5	84	5	0.1905788
5	104	1	0.166505
6	52	1	0.16205
6	56	1	0.212389
6	60	1	0.156197
6	64	1	0.212389
6	68	3	0.1795926666666667
6	72	1	0.161836
6	76	2	0.221459
