n	module	path	size_bytes
1	Core.Certificate	Core/Certificate.lean	2970
2	Core.Residue	Core/Residue.lean	181
3	Core.Sheaf	Core/Sheaf.lean	2392
4	Core.Tau	Core/Tau.lean	479
5	Tau.Coho	Tau/Coho.lean	2026
6	Tau.DeltaComplex	Tau/DeltaComplex.lean	1298
7	Tau.Distance.Fisher	Tau/Distance/Fisher.lean	224
8	Tau.Flow.OneLoopRG	Tau/Flow/OneLoopRG.lean	733
9	Tau.Flow.Scheduler	Tau/Flow/Scheduler.lean	344
10	Tau.LeafGroup	Tau/LeafGroup.lean	657
11	Tau.ProveV2	Tau/ProveV2.lean	3925
12	TauCrystal.Basic	TauCrystal/Basic.lean	33
13	TauCrystal.Cli	TauCrystal/Cli.lean	4193
14	TauCrystal.Core	TauCrystal/Core.lean	103
15	TauCrystal.Derived.Refactor	TauCrystal/Derived/Refactor.lean	805
16	TauCrystal.Fermion	TauCrystal/Fermion.lean	1334
17	TauCrystal.GeomProofs.shot_A	TauCrystal/GeomProofs/shot_A.lean	725
18	TauCrystal.Infinity.ReceiptInf	TauCrystal/Infinity/ReceiptInf.lean	321
19	TauCrystal.Init	TauCrystal/Init.lean	68
20	TauCrystal.Proofs	TauCrystal/Proofs.lean	349
21	TauCrystal.Proofs.LaurentCheck	TauCrystal/Proofs/LaurentCheck.lean	750
22	TauCrystal.Proofs.TauMonotonic	TauCrystal/Proofs/TauMonotonic.lean	337
23	TauCrystal.ReceiptCategory	TauCrystal/ReceiptCategory.lean	1203
24	TauCrystal.Spectral	TauCrystal/Spectral.lean	1096
25	TauCrystal.VerifyChain	TauCrystal/VerifyChain.lean	1410
26	src.Spectral.Core	src/Spectral/Core.lean	1869
27	src.Spectral.Kernel.Minimal	src/Spectral/Kernel/Minimal.lean	1477
28	src.Spectral.face_plumbing	src/Spectral/face_plumbing.lean	248
29	src.Spectral.plumbing	src/Spectral/plumbing.lean	372
