k,H,dH,tau
0,1.000000000,0,1.0
1,0.291926582,-0.708073418,0.540302306
2,0.735397518,0.443470936,0.857553216
3,0.428095129,-0.307302389,0.654289790
4,0.629611080,0.201515951,0.793480359
5,0.491918156,-0.137692924,0.701368773
6,0.583634397,0.091716241,0.763959683
7,0.521431912,-0.062202485,0.722102425
8,0.563126818,0.041694906,0.750417762
9,0.534951873,-0.028174945,0.731404042
10,0.553889241,0.018937368,0.744237355
11,0.541114334,-0.012774907,0.735604740
12,0.549711160,0.008596826,0.741425087
13,0.543916413,-0.005794747,0.737506890
14,0.547818079,0.003901666,0.740147336
15,0.545189081,-0.002628998,0.738369204
16,0.546959646,0.001770565,0.739567202
17,0.545766810,-0.001192836,0.738760320
18,0.546570245,0.000803435,0.739303892
19,0.546029009,-0.000541236,0.738937757
20,0.546393577,0.000364568,0.739184400
21,0.546147992,-0.000245585,0.739018262
22,0.546313419,0.000165427,0.739130177
23,0.546201983,-0.000111436,0.739054790
24,0.546277047,0.000075064,0.739105572
25,0.546226483,-0.000050564,0.739071365
26,0.546260544,0.000034061,0.739094408
27,0.546237600,-0.000022944,0.739078886
28,0.546253054,0.000015454,0.739089341
29,0.546242645,-0.000010409,0.739082299
30,0.546249656,0.000007011,0.739087042
