S_micro	T_micro	diff	mA	mB	nA	nB
224000	-256887	106970	224000	-256887	1	1
224000	-253887	104720	224000	-253887	1	1
224000	-250887	102508	224000	-250887	1	1
224000	-247887	100338	224000	-247887	1	1
224000	-244887	98211	224000	-244887	1	1
224000	-241887	96130	224000	-241887	1	1
224000	-238887	94099	224000	-238887	1	1
224000	-235887	92121	224000	-235887	1	1
224000	-232887	90200	224000	-232887	1	1
224000	-229887	88339	224000	-229887	1	1
224000	-226887	86541	224000	-226887	1	1
224000	-223887	84812	224000	-223887	1	1
224000	-220887	83155	224000	-220887	1	1
224000	-217887	81575	224000	-217887	1	1
224000	-214887	80076	224000	-214887	1	1
224000	-211887	78663	224000	-211887	1	1
224000	-208887	77340	224000	-208887	1	1
224000	-205887	76113	224000	-205887	1	1
224000	-202887	74986	224000	-202887	1	1
224000	-199887	73963	224000	-199887	1	1
224000	-196887	73049	224000	-196887	1	1
224000	-193887	72249	224000	-193887	1	1
224000	-190887	71565	224000	-190887	1	1
224000	-187887	71002	224000	-187887	1	1
224000	-184887	70561	224000	-184887	1	1
224000	-181887	70247	224000	-181887	1	1
224000	-178887	70059	224000	-178887	1	1
224000	-175887	70000	224000	-175887	1	1
224000	-172887	70069	224000	-172887	1	1
224000	-169887	70266	224000	-169887	1	1
224000	-166887	70590	224000	-166887	1	1
224000	-163887	71040	224000	-163887	1	1
224000	-160887	71612	224000	-160887	1	1
224000	-157887	72305	224000	-157887	1	1
224000	-154887	73114	224000	-154887	1	1
224000	-151887	74036	224000	-151887	1	1
224000	-148887	75067	224000	-148887	1	1
224000	-145887	76202	224000	-145887	1	1
224000	-142887	77436	224000	-142887	1	1
224000	-139887	78766	224000	-139887	1	1
224000	-136887	80186	224000	-136887	1	1
224000	-133887	81691	224000	-133887	1	1
224000	-130887	83277	224000	-130887	1	1
224000	-127887	84940	224000	-127887	1	1
224000	-124887	86674	224000	-124887	1	1
224000	-121887	88477	224000	-121887	1	1
224000	-118887	90343	224000	-118887	1	1
224000	-115887	92269	224000	-115887	1	1
224000	-112887	94250	224000	-112887	1	1
224000	-109887	96285	224000	-109887	1	1
224000	-106887	98369	224000	-106887	1	1
227000	-256887	105031	227000	-256887	1	1
227000	-253887	102739	227000	-253887	1	1
227000	-250887	100484	227000	-250887	1	1
227000	-247887	98268	227000	-247887	1	1
227000	-244887	96095	227000	-244887	1	1
227000	-241887	93968	227000	-241887	1	1
227000	-238887	91890	227000	-238887	1	1
227000	-235887	89863	227000	-235887	1	1
227000	-232887	87892	227000	-232887	1	1
227000	-229887	85981	227000	-229887	1	1
227000	-226887	84133	227000	-226887	1	1
