S_micro\tT_micro\tdiff\tbasin
S_micro	T_micro	diff	0
224000	-256887	106970	0
224000	-253887	104720	0
224000	-250887	102508	0
224000	-247887	100338	0
224000	-244887	98211	0
224000	-241887	96130	0
224000	-238887	94099	0
224000	-235887	92121	0
224000	-232887	90200	0
224000	-229887	88339	0
224000	-226887	86541	0
224000	-223887	84812	0
224000	-220887	83155	0
224000	-217887	81575	0
224000	-214887	80076	0
224000	-211887	78663	0
224000	-208887	77340	0
224000	-205887	76113	0
224000	-202887	74986	0
224000	-199887	73963	0
224000	-196887	73049	0
224000	-193887	72249	0
224000	-190887	71565	0
224000	-187887	71002	0
224000	-184887	70561	0
224000	-181887	70247	0
224000	-178887	70059	0
224000	-175887	70000	0
224000	-172887	70069	0
224000	-169887	70266	0
224000	-166887	70590	0
224000	-163887	71040	0
224000	-160887	71612	0
224000	-157887	72305	0
224000	-154887	73114	0
224000	-151887	74036	0
224000	-148887	75067	0
224000	-145887	76202	0
224000	-142887	77436	0
224000	-139887	78766	0
224000	-136887	80186	0
224000	-133887	81691	0
224000	-130887	83277	0
224000	-127887	84940	0
224000	-124887	86674	0
224000	-121887	88477	0
224000	-118887	90343	0
224000	-115887	92269	0
224000	-112887	94250	0
224000	-109887	96285	0
224000	-106887	98369	0
227000	-256887	105031	0
227000	-253887	102739	0
227000	-250887	100484	0
227000	-247887	98268	0
227000	-244887	96095	0
227000	-241887	93968	0
227000	-238887	91890	0
227000	-235887	89863	0
227000	-232887	87892	0
227000	-229887	85981	0
227000	-226887	84133	0
227000	-223887	82353	0
227000	-220887	80646	0
227000	-217887	79015	0
227000	-214887	77467	0
227000	-211887	76005	0
227000	-208887	74636	0
227000	-205887	73363	0
227000	-202887	72193	0
227000	-199887	71130	0
227000	-196887	70180	0
227000	-193887	69346	0
227000	-190887	68633	0
227000	-187887	68046	0
227000	-184887	67586	0
227000	-181887	67258	0
227000	-178887	67062	0
227000	-175887	67000	0
227000	-172887	67072	0
227000	-169887	67278	0
227000	-166887	67616	0
227000	-163887	68086	0
227000	-160887	68683	0
227000	-157887	69405	0
227000	-154887	70247	0
227000	-151887	71206	0
227000	-148887	72278	0
227000	-145887	73456	0
227000	-142887	74736	0
227000	-139887	76112	0
227000	-136887	77581	0
227000	-133887	79135	0
227000	-130887	80772	0
227000	-127887	82485	0
227000	-124887	84270	0
227000	-121887	86123	0
227000	-118887	88039	0
227000	-115887	90014	0
227000	-112887	92044	0
227000	-109887	94127	0
227000	-106887	96258	0
230000	-256887	103144	0
230000	-253887	100808	0
230000	-250887	98509	0
230000	-247887	96248	0
230000	-244887	94028	0
230000	-241887	91853	0
230000	-238887	89726	0
230000	-235887	87649	0
230000	-232887	85627	0
230000	-229887	83664	0
230000	-226887	81764	0
230000	-223887	79932	0
230000	-220887	78171	0
230000	-217887	76488	0
230000	-214887	74887	0
230000	-211887	73374	0
230000	-208887	71955	0
230000	-205887	70634	0
230000	-202887	69418	0
230000	-199887	68312	0
230000	-196887	67322	0
230000	-193887	66452	0
230000	-190887	65708	0
230000	-187887	65094	0
230000	-184887	64614	0
230000	-181887	64270	0
230000	-178887	64065	0
230000	-175887	64000	0
230000	-172887	64075	0
230000	-169887	64291	0
230000	-166887	64645	0
230000	-163887	65136	0
230000	-160887	65760	0
230000	-157887	66513	0
230000	-154887	67392	0
230000	-151887	68391	0
230000	-148887	69506	0
230000	-145887	70730	0
230000	-142887	72058	0
230000	-139887	73485	0
230000	-136887	75005	0
230000	-133887	76612	0
230000	-130887	78301	0
230000	-127887	80067	0
230000	-124887	81905	0
230000	-121887	83810	0
230000	-118887	85778	0
230000	-115887	87804	0
230000	-112887	89884	0
230000	-109887	92015	0
230000	-106887	94194	0
233000	-256887	101309	0
233000	-253887	98931	0
233000	-250887	96587	0
233000	-247887	94280	0
233000	-244887	92013	0
233000	-241887	89789	0
233000	-238887	87611	0
233000	-235887	85483	0
233000	-232887	83409	0
233000	-229887	81392	0
233000	-226887	79438	0
233000	-223887	77551	0
233000	-220887	75735	0
233000	-217887	73996	0
233000	-214887	72340	0
233000	-211887	70773	0
233000	-208887	69300	0
233000	-205887	67928	0
233000	-202887	66662	0
233000	-199887	65510	0
233000	-196887	64476	0
233000	-193887	63568	0
233000	-190887	62790	0
233000	-187887	62147	0
233000	-184887	61643	0
233000	-181887	61283	0
233000	-178887	61068	0
233000	-175887	61000	0
233000	-172887	61079	0
233000	-169887	61305	0
233000	-166887	61676	0
233000	-163887	62191	0
233000	-160887	62844	0
233000	-157887	63632	0
233000	-154887	64550	0
233000	-151887	65592	0
233000	-148887	66754	0
233000	-145887	68027	0
233000	-142887	69408	0
233000	-139887	70888	0
233000	-136887	72462	0
233000	-133887	74124	0
233000	-130887	75869	0
233000	-127887	77690	0
233000	-124887	79583	0
233000	-121887	81542	0
233000	-118887	83563	0
233000	-115887	85642	0
233000	-112887	87773	0
233000	-109887	89955	0
233000	-106887	92182	0
236000	-256887	99532	0
236000	-253887	97110	0
236000	-250887	94720	0
236000	-247887	92367	0
236000	-244887	90052	0
236000	-241887	87778	0
236000	-238887	85549	0
236000	-235887	83369	0
236000	-232887	81241	0
236000	-229887	79169	0
236000	-226887	77158	0
236000	-223887	75214	0
236000	-220887	73340	0
236000	-217887	71543	0
236000	-214887	69829	0
236000	-211887	68204	0
236000	-208887	66674	0
236000	-205887	65247	0
236000	-202887	63928	0
236000	-199887	62726	0
236000	-196887	61646	0
236000	-193887	60695	0
236000	-190887	59880	0
236000	-187887	59205	0
236000	-184887	58676	0
236000	-181887	58297	0
236000	-178887	58071	0
236000	-175887	58000	0
236000	-172887	58083	0
236000	-169887	58321	0
236000	-166887	58711	0
236000	-163887	59251	0
236000	-160887	59936	0
236000	-157887	60762	0
236000	-154887	61723	0
236000	-151887	62812	0
236000	-148887	64024	0
236000	-145887	65351	0
236000	-142887	66786	0
236000	-139887	68323	0
236000	-136887	69955	0
236000	-133887	71676	0
236000	-130887	73479	0
236000	-127887	75358	0
236000	-124887	77308	0
236000	-121887	79323	0
236000	-118887	81399	0
236000	-115887	83531	0
236000	-112887	85716	0
236000	-109887	87948	0
236000	-106887	90225	0
239000	-256887	97814	0
239000	-253887	95348	0
239000	-250887	92914	0
239000	-247887	90513	0
239000	-244887	88149	0
239000	-241887	85825	0
239000	-238887	83545	0
239000	-235887	81310	0
239000	-232887	79127	0
239000	-229887	76998	0
239000	-226887	74929	0
239000	-223887	72925	0
239000	-220887	70991	0
239000	-217887	69134	0
239000	-214887	67358	0
239000	-211887	65672	0
239000	-208887	64082	0
239000	-205887	62595	0
239000	-202887	61220	0
239000	-199887	59963	0
239000	-196887	58832	0
239000	-193887	57835	0
239000	-190887	56979	0
239000	-187887	56269	0
239000	-184887	55713	0
239000	-181887	55314	0
239000	-178887	55075	0
239000	-175887	55000	0
239000	-172887	55088	0
239000	-169887	55338	0
239000	-166887	55749	0
239000	-163887	56318	0
239000	-160887	57038	0
239000	-157887	57905	0
239000	-154887	58913	0
239000	-151887	60053	0
239000	-148887	61319	0
239000	-145887	62704	0
239000	-142887	64198	0
239000	-139887	65796	0
239000	-136887	67489	0
239000	-133887	69271	0
239000	-130887	71134	0
239000	-127887	73074	0
239000	-124887	75083	0
239000	-121887	77157	0
239000	-118887	79289	0
239000	-115887	81477	0
239000	-112887	83715	0
239000	-109887	85999	0
239000	-106887	88326	0
242000	-256887	96159	0
242000	-253887	93650	0
242000	-250887	91170	0
242000	-247887	88722	0
242000	-244887	86310	0
242000	-241887	83935	0
242000	-238887	81601	0
242000	-235887	79312	0
242000	-232887	77072	0
242000	-229887	74885	0
242000	-226887	72756	0
242000	-223887	70690	0
242000	-220887	68693	0
242000	-217887	66772	0
242000	-214887	64932	0
242000	-211887	63181	0
242000	-208887	61526	0
242000	-205887	59976	0
242000	-202887	58539	0
242000	-199887	57224	0
242000	-196887	56038	0
242000	-193887	54990	0
242000	-190887	54089	0
242000	-187887	53341	0
242000	-184887	52753	0
242000	-181887	52332	0
242000	-178887	52080	0
242000	-175887	52000	0
242000	-172887	52093	0
242000	-169887	52358	0
242000	-166887	52792	0
242000	-163887	53392	0
242000	-160887	54151	0
242000	-157887	55064	0
242000	-154887	56122	0
242000	-151887	57318	0
242000	-148887	58643	0
242000	-145887	60089	0
242000	-142887	61647	0
242000	-139887	63309	0
242000	-136887	65067	0
242000	-133887	66914	0
242000	-130887	68841	0
242000	-127887	70843	0
242000	-124887	72914	0
242000	-121887	75048	0
242000	-118887	77239	0
242000	-115887	79483	0
242000	-112887	81775	0
242000	-109887	84112	0
242000	-106887	86490	0
245000	-256887	94571	0
245000	-253887	92018	0
245000	-250887	89493	0
245000	-247887	86998	0
245000	-244887	84536	0
245000	-241887	82110	0
245000	-238887	79723	0
245000	-235887	77378	0
245000	-232887	75080	0
245000	-229887	72834	0
245000	-226887	70643	0
245000	-223887	68513	0
245000	-220887	66451	0
245000	-217887	64463	0
245000	-214887	62555	0
245000	-211887	60736	0
245000	-208887	59013	0
245000	-205887	57395	0
245000	-202887	55891	0
245000	-199887	54512	0
245000	-196887	53266	0
245000	-193887	52162	0
245000	-190887	51211	0
245000	-187887	50421	0
245000	-184887	49799	0
245000	-181887	49352	0
245000	-178887	49084	0
245000	-175887	49000	0
245000	-172887	49098	0
245000	-169887	49379	0
245000	-166887	49840	0
245000	-163887	50474	0
245000	-160887	51277	0
245000	-157887	52240	0
245000	-154887	53355	0
245000	-151887	54611	0
245000	-148887	56001	0
245000	-145887	57513	0
245000	-142887	59139	0
245000	-139887	60869	0
245000	-136887	62696	0
245000	-133887	64610	0
245000	-130887	66604	0
245000	-127887	68672	0
245000	-124887	70806	0
245000	-121887	73001	0
245000	-118887	75252	0
245000	-115887	77553	0
245000	-112887	79901	0
245000	-109887	82291	0
245000	-106887	84720	0
248000	-256887	93052	0
248000	-253887	90456	0
248000	-250887	87886	0
248000	-247887	85344	0
248000	-244887	82833	0
248000	-241887	80356	0
248000	-238887	77915	0
248000	-235887	75514	0
248000	-232887	73158	0
248000	-229887	70850	0
248000	-226887	68596	0
248000	-223887	66401	0
248000	-220887	64271	0
248000	-217887	62213	0
248000	-214887	60234	0
248000	-211887	58342	0
248000	-208887	56546	0
248000	-205887	54856	0
248000	-202887	53281	0
248000	-199887	51832	0
248000	-196887	50519	0
248000	-193887	49355	0
248000	-190887	48348	0
248000	-187887	47511	0
248000	-184887	46850	0
248000	-181887	46375	0
248000	-178887	46090	0
248000	-175887	46000	0
248000	-172887	46105	0
248000	-169887	46404	0
248000	-166887	46893	0
248000	-163887	47568	0
248000	-160887	48419	0
248000	-157887	49437	0
248000	-154887	50613	0
248000	-151887	51936	0
248000	-148887	53395	0
248000	-145887	54979	0
248000	-142887	56678	0
248000	-139887	58482	0
248000	-136887	60380	0
248000	-133887	62365	0
248000	-130887	64429	0
248000	-127887	66564	0
248000	-124887	68764	0
248000	-121887	71022	0
248000	-118887	73334	0
248000	-115887	75693	0
248000	-112887	78097	0
248000	-109887	80541	0
248000	-106887	83021	0
251000	-256887	91606	0
251000	-253887	88968	0
251000	-250887	86354	0
251000	-247887	83765	0
251000	-244887	81206	0
251000	-241887	78677	0
251000	-238887	76182	0
251000	-235887	73725	0
251000	-232887	71310	0
251000	-229887	68940	0
251000	-226887	66621	0
251000	-223887	64359	0
251000	-220887	62159	0
251000	-217887	60029	0
251000	-214887	57975	0
251000	-211887	56007	0
251000	-208887	54134	0
251000	-205887	52366	0
251000	-202887	50714	0
251000	-199887	49189	0
251000	-196887	47804	0
251000	-193887	46571	0
251000	-190887	45504	0
251000	-187887	44612	0
251000	-184887	43908	0
251000	-181887	43401	0
251000	-178887	43096	0
251000	-175887	43000	0
251000	-172887	43112	0
251000	-169887	43432	0
251000	-166887	43955	0
251000	-163887	44673	0
251000	-160887	45578	0
251000	-157887	46659	0
251000	-154887	47903	0
251000	-151887	49299	0
251000	-148887	50834	0
251000	-145887	52495	0
251000	-142887	54272	0
251000	-139887	56152	0
251000	-136887	58127	0
251000	-133887	60187	0
251000	-130887	62323	0
251000	-127887	64527	0
251000	-124887	66794	0
251000	-121887	69117	0
251000	-118887	71490	0
251000	-115887	73909	0
251000	-112887	76369	0
251000	-109887	78866	0
251000	-106887	81397	0
254000	-256887	90236	0
254000	-253887	87557	0
254000	-250887	84900	0
254000	-247887	82266	0
254000	-244887	79658	0
254000	-241887	77078	0
254000	-238887	74530	0
254000	-235887	72017	0
254000	-232887	69542	0
254000	-229887	67110	0
254000	-226887	64726	0
254000	-223887	62395	0
254000	-220887	60123	0
254000	-217887	57918	0
254000	-214887	55787	0
254000	-211887	53738	0
254000	-208887	51783	0
254000	-205887	49932	0
254000	-202887	48196	0
254000	-199887	46589	0
254000	-196887	45125	0
254000	-193887	43817	0
254000	-190887	42680	0
254000	-187887	41728	0
254000	-184887	40975	0
254000	-181887	40430	0
254000	-178887	40104	0
254000	-175887	40000	0
254000	-172887	40120	0
254000	-169887	40464	0
254000	-166887	41024	0
254000	-163887	41793	0
254000	-160887	42759	0
254000	-157887	43909	0
254000	-154887	45230	0
254000	-151887	46705	0
254000	-148887	48323	0
254000	-145887	50067	0
254000	-142887	51927	0
254000	-139887	53890	0
254000	-136887	55944	0
254000	-133887	58081	0
254000	-130887	60292	0
254000	-127887	62568	0
254000	-124887	64904	0
254000	-121887	67292	0
254000	-118887	69727	0
254000	-115887	72205	0
254000	-112887	74721	0
254000	-109887	77271	0
254000	-106887	79853	0
257000	-256887	88947	0
257000	-253887	86228	0
257000	-250887	83528	0
257000	-247887	80850	0
257000	-244887	78194	0
257000	-241887	75565	0
257000	-238887	72964	0
257000	-235887	70394	0
257000	-232887	67861	0
257000	-229887	65366	0
257000	-226887	62916	0
