T_micro	mA_micro	mB_micro	diff_micro	nA	nB
-476000	0	0	0	1	1
-475500	0	0	0	1	1
-475000	0	0	0	1	1
-474500	0	0	0	1	1
-474000	0	0	0	1	1
-473500	0	0	0	1	1
-473000	0	0	0	1	1
-472500	0	0	0	1	1
-472000	0	0	0	1	1
-471500	0	0	0	1	1
-471000	0	0	0	1	1
-470500	0	0	0	1	1
-470000	0	0	0	1	1
-469500	0	0	0	1	1
-469000	0	0	0	1	1
-468500	0	0	0	1	1
-468000	0	0	0	1	1
-467500	0	0	0	1	1
-467000	0	0	0	1	1
-466500	0	0	0	1	1
-466000	0	0	0	1	1
-465500	0	0	0	1	1
-465000	0	0	0	1	1
-464500	0	0	0	1	1
-464000	0	0	0	1	1
-463500	0	0	0	1	1
-463000	0	0	0	1	1
-462500	0	0	0	1	1
-462000	0	0	0	1	1
-461500	0	0	0	1	1
-461000	0	0	0	1	1
-460500	0	0	0	1	1
-460000	0	0	0	1	1
-459500	0	0	0	1	1
-459000	0	0	0	1	1
-458500	0	0	0	1	1
-458000	0	0	0	1	1
-457500	0	0	0	1	1
-457000	0	0	0	1	1
-456500	0	0	0	1	1
-456000	0	0	0	1	1
-455500	0	0	0	1	1
-455000	0	0	0	1	1
-454500	0	0	0	1	1
-454000	0	0	0	1	1
-453500	0	0	0	1	1
-453000	0	0	0	1	1
-452500	0	0	0	1	1
-452000	0	0	0	1	1
-451500	0	0	0	1	1
-451000	0	0	0	1	1
-450500	0	0	0	1	1
-450000	0	0	0	1	1
-449500	0	0	0	1	1
-449000	0	0	0	1	1
-448500	0	0	0	1	1
-448000	0	0	0	1	1
-447500	0	0	0	1	1
-447000	0	0	0	1	1
-446500	0	0	0	1	1
-446000	0	0	0	1	1
-445500	0	0	0	1	1
-445000	0	0	0	1	1
-444500	0	0	0	1	1
-444000	0	0	0	1	1
-443500	0	0	0	1	1
-443000	0	0	0	1	1
-442500	0	0	0	1	1
-442000	0	0	0	1	1
-441500	0	0	0	1	1
-441000	0	0	0	1	1
-440500	0	0	0	1	1
