S_micro	T_micro	diff	mA	mB	nA	nB
224000	-261381	110407	224000	-261381	1	1
224000	-259381	108868	224000	-259381	1	1
224000	-257381	107344	224000	-257381	1	1
224000	-255381	105836	224000	-255381	1	1
224000	-253381	104344	224000	-253381	1	1
224000	-251381	102870	224000	-251381	1	1
224000	-249381	101413	224000	-249381	1	1
224000	-247381	99976	224000	-247381	1	1
224000	-245381	98558	224000	-245381	1	1
224000	-243381	97160	224000	-243381	1	1
224000	-241381	95784	224000	-241381	1	1
224000	-239381	94430	224000	-239381	1	1
224000	-237381	93100	224000	-237381	1	1
224000	-235381	91793	224000	-235381	1	1
224000	-233381	90512	224000	-233381	1	1
224000	-231381	89258	224000	-231381	1	1
224000	-229381	88031	224000	-229381	1	1
224000	-227381	86833	224000	-227381	1	1
224000	-225381	85664	224000	-225381	1	1
224000	-223381	84527	224000	-223381	1	1
224000	-221381	83423	224000	-221381	1	1
224000	-219381	82352	224000	-219381	1	1
224000	-217381	81316	224000	-217381	1	1
224000	-215381	80317	224000	-215381	1	1
224000	-213381	79355	224000	-213381	1	1
224000	-211381	78433	224000	-211381	1	1
224000	-209381	77551	224000	-209381	1	1
224000	-207381	76712	224000	-207381	1	1
224000	-205381	75916	224000	-205381	1	1
224000	-203381	75164	224000	-203381	1	1
224000	-201381	74459	224000	-201381	1	1
224000	-199381	73801	224000	-199381	1	1
224000	-197381	73192	224000	-197381	1	1
224000	-195381	72633	224000	-195381	1	1
224000	-193381	72125	224000	-193381	1	1
224000	-191381	71669	224000	-191381	1	1
224000	-189381	71267	224000	-189381	1	1
224000	-187381	70919	224000	-187381	1	1
224000	-185381	70625	224000	-185381	1	1
224000	-183381	70388	224000	-183381	1	1
224000	-181381	70206	224000	-181381	1	1
224000	-179381	70081	224000	-179381	1	1
224000	-177381	70013	224000	-177381	1	1
224000	-175381	70002	224000	-175381	1	1
224000	-173381	70048	224000	-173381	1	1
224000	-171381	70152	224000	-171381	1	1
224000	-169381	70312	224000	-169381	1	1
224000	-167381	70528	224000	-167381	1	1
224000	-165381	70800	224000	-165381	1	1
224000	-163381	71128	224000	-163381	1	1
224000	-161381	71510	224000	-161381	1	1
224000	-159381	71945	224000	-159381	1	1
224000	-157381	72433	224000	-157381	1	1
224000	-155381	72973	224000	-155381	1	1
224000	-153381	73563	224000	-153381	1	1
224000	-151381	74203	224000	-151381	1	1
224000	-149381	74890	224000	-149381	1	1
224000	-147381	75624	224000	-147381	1	1
224000	-145381	76403	224000	-145381	1	1
224000	-143381	77226	224000	-143381	1	1
224000	-141381	78092	224000	-141381	1	1
224000	-139381	78999	224000	-139381	1	1
224000	-137381	79946	224000	-137381	1	1
224000	-135381	80931	224000	-135381	1	1
224000	-133381	81953	224000	-133381	1	1
224000	-131381	83011	224000	-131381	1	1
224000	-129381	84103	224000	-129381	1	1
224000	-127381	85227	224000	-127381	1	1
224000	-125381	86384	224000	-125381	1	1
224000	-123381	87571	224000	-123381	1	1
224000	-121381	88787	224000	-121381	1	1
224000	-119381	90031	224000	-119381	1	1
224000	-117381	91302	224000	-117381	1	1
224000	-115381	92599	224000	-115381	1	1
224000	-113381	93920	224000	-113381	1	1
224000	-111381	95266	224000	-111381	1	1
224000	-109381	96633	224000	-109381	1	1
224000	-107381	98023	224000	-107381	1	1
226000	-261381	109150	226000	-261381	1	1
226000	-259381	107593	226000	-259381	1	1
226000	-257381	106051	226000	-257381	1	1
226000	-255381	104524	226000	-255381	1	1
226000	-253381	103013	226000	-253381	1	1
226000	-251381	101519	226000	-251381	1	1
226000	-249381	100043	226000	-249381	1	1
226000	-247381	98586	226000	-247381	1	1
226000	-245381	97147	226000	-245381	1	1
226000	-243381	95729	226000	-243381	1	1
226000	-241381	94332	226000	-241381	1	1
226000	-239381	92957	226000	-239381	1	1
226000	-237381	91605	226000	-237381	1	1
226000	-235381	90277	226000	-235381	1	1
226000	-233381	88975	226000	-233381	1	1
226000	-231381	87698	226000	-231381	1	1
226000	-229381	86449	226000	-229381	1	1
226000	-227381	85229	226000	-227381	1	1
226000	-225381	84038	226000	-225381	1	1
226000	-223381	82879	226000	-223381	1	1
226000	-221381	81752	226000	-221381	1	1
226000	-219381	80659	226000	-219381	1	1
226000	-217381	79601	226000	-217381	1	1
226000	-215381	78580	226000	-215381	1	1
226000	-213381	77597	226000	-213381	1	1
226000	-211381	76653	226000	-211381	1	1
226000	-209381	75751	226000	-209381	1	1
226000	-207381	74891	226000	-207381	1	1
226000	-205381	74075	226000	-205381	1	1
226000	-203381	73305	226000	-203381	1	1
226000	-201381	72582	226000	-201381	1	1
226000	-199381	71907	226000	-199381	1	1
226000	-197381	71282	226000	-197381	1	1
226000	-195381	70708	226000	-195381	1	1
226000	-193381	70186	226000	-193381	1	1
226000	-191381	69717	226000	-191381	1	1
226000	-189381	69304	226000	-189381	1	1
226000	-187381	68945	226000	-187381	1	1
226000	-185381	68644	226000	-185381	1	1
226000	-183381	68399	226000	-183381	1	1
226000	-181381	68212	226000	-181381	1	1
226000	-179381	68084	226000	-179381	1	1
226000	-177381	68014	226000	-177381	1	1
226000	-175381	68002	226000	-175381	1	1
226000	-173381	68050	226000	-173381	1	1
226000	-171381	68156	226000	-171381	1	1
226000	-169381	68321	226000	-169381	1	1
226000	-167381	68544	226000	-167381	1	1
226000	-165381	68824	226000	-165381	1	1
226000	-163381	69160	226000	-163381	1	1
226000	-161381	69553	226000	-161381	1	1
226000	-159381	70001	226000	-159381	1	1
226000	-157381	70502	226000	-157381	1	1
226000	-155381	71057	226000	-155381	1	1
226000	-153381	71663	226000	-153381	1	1
226000	-151381	72319	226000	-151381	1	1
226000	-149381	73024	226000	-149381	1	1
226000	-147381	73777	226000	-147381	1	1
226000	-145381	74575	226000	-145381	1	1
226000	-143381	75418	226000	-143381	1	1
226000	-141381	76305	226000	-141381	1	1
226000	-139381	77233	226000	-139381	1	1
226000	-137381	78201	226000	-137381	1	1
226000	-135381	79207	226000	-135381	1	1
226000	-133381	80251	226000	-133381	1	1
226000	-131381	81331	226000	-131381	1	1
226000	-129381	82445	226000	-129381	1	1
226000	-127381	83593	226000	-127381	1	1
226000	-125381	84771	226000	-125381	1	1
226000	-123381	85981	226000	-123381	1	1
226000	-121381	87219	226000	-121381	1	1
226000	-119381	88485	226000	-119381	1	1
226000	-117381	89778	226000	-117381	1	1
226000	-115381	91096	226000	-115381	1	1
226000	-113381	92439	226000	-113381	1	1
226000	-111381	93806	226000	-111381	1	1
226000	-109381	95195	226000	-109381	1	1
226000	-107381	96605	226000	-107381	1	1
228000	-261381	107916	228000	-261381	1	1
228000	-259381	106340	228000	-259381	1	1
228000	-257381	104780	228000	-257381	1	1
228000	-255381	103234	228000	-255381	1	1
228000	-253381	101704	228000	-253381	1	1
228000	-251381	100191	228000	-251381	1	1
228000	-249381	98695	228000	-249381	1	1
228000	-247381	97217	228000	-247381	1	1
228000	-245381	95758	228000	-245381	1	1
228000	-243381	94319	228000	-243381	1	1
228000	-241381	92901	228000	-241381	1	1
228000	-239381	91504	228000	-239381	1	1
228000	-237381	90131	228000	-237381	1	1
228000	-235381	88781	228000	-235381	1	1
228000	-233381	87456	228000	-233381	1	1
228000	-231381	86157	228000	-231381	1	1
228000	-229381	84885	228000	-229381	1	1
228000	-227381	83642	228000	-227381	1	1
228000	-225381	82428	228000	-225381	1	1
228000	-223381	81246	228000	-223381	1	1
228000	-221381	80096	228000	-221381	1	1
228000	-219381	78980	228000	-219381	1	1
228000	-217381	77899	228000	-217381	1	1
228000	-215381	76856	228000	-215381	1	1
228000	-213381	75850	228000	-213381	1	1
228000	-211381	74885	228000	-211381	1	1
228000	-209381	73961	228000	-209381	1	1
228000	-207381	73080	228000	-207381	1	1
228000	-205381	72244	228000	-205381	1	1
228000	-203381	71454	228000	-203381	1	1
228000	-201381	70712	228000	-201381	1	1
228000	-199381	70019	228000	-199381	1	1
228000	-197381	69376	228000	-197381	1	1
228000	-195381	68786	228000	-195381	1	1
228000	-193381	68250	228000	-193381	1	1
228000	-191381	67768	228000	-191381	1	1
228000	-189381	67342	228000	-189381	1	1
228000	-187381	66974	228000	-187381	1	1
228000	-185381	66663	228000	-185381	1	1
228000	-183381	66411	228000	-183381	1	1
228000	-181381	66218	228000	-181381	1	1
228000	-179381	66086	228000	-179381	1	1
228000	-177381	66014	228000	-177381	1	1
228000	-175381	66002	228000	-175381	1	1
228000	-173381	66051	228000	-173381	1	1
228000	-171381	66161	228000	-171381	1	1
228000	-169381	66331	228000	-169381	1	1
228000	-167381	66560	228000	-167381	1	1
228000	-165381	66848	228000	-165381	1	1
228000	-163381	67195	228000	-163381	1	1
228000	-161381	67599	228000	-161381	1	1
228000	-159381	68060	228000	-159381	1	1
228000	-157381	68575	228000	-157381	1	1
228000	-155381	69145	228000	-155381	1	1
228000	-153381	69768	228000	-153381	1	1
228000	-151381	70442	228000	-151381	1	1
228000	-149381	71165	228000	-149381	1	1
228000	-147381	71937	228000	-147381	1	1
228000	-145381	72756	228000	-145381	1	1
228000	-143381	73620	228000	-143381	1	1
228000	-141381	74528	228000	-141381	1	1
228000	-139381	75478	228000	-139381	1	1
228000	-137381	76468	228000	-137381	1	1
228000	-135381	77497	228000	-135381	1	1
228000	-133381	78564	228000	-133381	1	1
228000	-131381	79667	228000	-131381	1	1
228000	-129381	80804	228000	-129381	1	1
228000	-127381	81974	228000	-127381	1	1
228000	-125381	83176	228000	-125381	1	1
228000	-123381	84408	228000	-123381	1	1
228000	-121381	85669	228000	-121381	1	1
228000	-119381	86958	228000	-119381	1	1
228000	-117381	88273	228000	-117381	1	1
228000	-115381	89613	228000	-115381	1	1
228000	-113381	90978	228000	-113381	1	1
228000	-111381	92366	228000	-111381	1	1
228000	-109381	93776	228000	-109381	1	1
228000	-107381	95208	228000	-107381	1	1
230000	-261381	106704	230000	-261381	1	1
230000	-259381	105111	230000	-259381	1	1
230000	-257381	103531	230000	-257381	1	1
230000	-255381	101967	230000	-255381	1	1
230000	-253381	100418	230000	-253381	1	1
230000	-251381	98885	230000	-251381	1	1
230000	-249381	97369	230000	-249381	1	1
230000	-247381	95870	230000	-247381	1	1
230000	-245381	94391	230000	-245381	1	1
230000	-243381	92931	230000	-243381	1	1
230000	-241381	91491	230000	-241381	1	1
230000	-239381	90073	230000	-239381	1	1
230000	-237381	88677	230000	-237381	1	1
230000	-235381	87304	230000	-235381	1	1
230000	-233381	85956	230000	-233381	1	1
230000	-231381	84634	230000	-231381	1	1
230000	-229381	83339	230000	-229381	1	1
230000	-227381	82073	230000	-227381	1	1
230000	-225381	80836	230000	-225381	1	1
