N,k,a_list,cont_s_num,cont_s_den,cont_max_num,cont_max_den,cont_OK,disc_s_num,disc_s_den,disc_max_num,disc_max_den,disc_OK,s_den_divides_N,agree_max
7,2,"1 3",1,2,1,2,YES,3,7,2,7,NO,NO,NO
23,5,"9 17 13 12 19",1,28,9,28,YES,1,23,4,23,YES,NO,NO
23,5,"9 17 13 12 19",1,28,9,28,YES,1,23,4,23,YES,NO,NO
5,2,"1 4",2,5,2,5,YES,2,5,2,5,YES,YES,YES
5,2,"1 4",2,5,2,5,YES,2,5,2,5,YES,YES,YES
25,6,"9 16 23 22 13 2",2,7,2,7,YES,1,5,1,5,YES,NO,NO
34,7,"17 14 27 9 22 29 23",5,31,8,31,YES,1,34,5,34,YES,NO,NO
34,7,"17 14 27 9 22 29 23",5,31,8,31,YES,1,34,5,34,YES,NO,NO
18,4,"6 8 16 15",2,23,7,23,YES,2,9,2,9,YES,NO,NO
18,4,"6 8 16 15",2,23,7,23,YES,2,9,2,9,YES,NO,NO
7,2,"1 5",1,2,1,2,YES,2,7,2,7,NO,NO,NO
6,2,"4 1",2,5,2,5,YES,1,3,1,3,YES,NO,NO
6,2,"4 1",2,5,2,5,YES,1,3,1,3,YES,NO,NO
25,5,"23 13 22 16 8",1,3,1,3,YES,1,5,1,5,YES,NO,NO
40,8,"7 28 14 25 33 34 4 13",6,61,15,61,YES,1,20,1,5,YES,NO,NO
40,8,"7 28 14 25 33 34 4 13",6,61,15,61,YES,1,20,1,5,YES,NO,NO
27,6,"10 5 4 7 9 13",1,17,4,17,YES,1,27,4,27,YES,NO,NO
27,6,"10 5 4 7 9 13",1,17,4,17,YES,1,27,4,27,YES,NO,NO
15,4,"6 3 10 1",4,9,1,3,YES,4,15,1,5,YES,NO,NO
16,4,"4 5 13 1",1,3,1,3,YES,7,16,3,16,NO,NO,NO
