N,k,a_list,s_num,s_den,max_num,max_den,OK
13,3,"12 1 5",4,13,4,13,YES
29,6,"16 4 19 11 17 5",4,29,6,29,YES
29,6,"16 4 19 11 17 5",4,29,6,29,YES
29,6,"16 4 19 11 17 5",4,29,6,29,YES
29,6,"16 4 19 11 17 5",4,29,6,29,YES
14,3,"8 2 6",3,14,2,7,YES
14,3,"8 2 6",3,14,2,7,YES
14,3,"8 2 6",3,14,2,7,YES
14,3,"8 2 6",3,14,2,7,YES
6,2,"1 3",1,2,1,2,YES
6,2,"1 3",1,2,1,2,YES
6,2,"1 3",1,2,1,2,YES
6,2,"1 3",1,2,1,2,YES
24,5,"12 4 14 11 22",1,8,1,4,YES
24,5,"12 4 14 11 22",1,8,1,4,YES
24,5,"12 4 14 11 22",1,8,1,4,YES
13,3,"5 10 1",6,13,4,13,YES
13,3,"5 10 1",6,13,4,13,YES
13,3,"5 10 1",6,13,4,13,YES
13,3,"5 10 1",6,13,4,13,YES
39,8,"22 6 32 36 12 19 38 21",6,13,2,13,YES
39,8,"22 6 32 36 12 19 38 21",6,13,2,13,YES
39,8,"22 6 32 36 12 19 38 21",6,13,2,13,YES
39,8,"22 6 32 36 12 19 38 21",6,13,2,13,YES
32,7,"14 11 15 18 19 13 30",1,4,1,4,YES
