N,k,family,a_list,cont_s_num,cont_s_den,cont_max_num,cont_max_den,cont_OK,disc_s_num,disc_s_den,disc_max_num,disc_max_den,disc_OK,s_den_divides_N,agree_max,why_miss,thr_num,thr_den,slack_num,slack_den,beats_bound
5,2,AP,"1 3",1,2,1,2,YES,1,5,1,5,NO,NO,NO,,1,3,-2,15,NO
5,2,AP,"2 4",1,6,1,3,YES,1,5,1,5,NO,NO,NO,,1,3,-2,15,NO
5,2,AP,"1 2",1,3,1,3,YES,1,5,1,5,NO,NO,NO,,1,3,-2,15,NO
5,2,AP,"2 3",1,5,2,5,YES,1,5,2,5,YES,YES,YES,,1,3,1,15,YES
5,2,COPRIME,"1 4",2,5,2,5,YES,2,5,2,5,YES,YES,YES,,1,3,1,15,YES
5,2,COPRIME,"2 1",1,3,1,3,YES,1,5,1,5,NO,NO,NO,,1,3,-2,15,NO
5,2,COPRIME,"1 2",1,3,1,3,YES,1,5,1,5,NO,NO,NO,,1,3,-2,15,NO
5,2,CLUSTER,"1 2",1,3,1,3,YES,1,5,1,5,NO,NO,NO,,1,3,-2,15,NO
5,2,CLUSTER,"1 2",1,3,1,3,YES,1,5,1,5,NO,NO,NO,,1,3,-2,15,NO
5,2,CLUSTER,"3 4",1,7,3,7,YES,1,5,1,5,NO,NO,NO,,1,3,-2,15,NO
5,3,AP,"1 2 3",1,4,1,4,YES,1,5,1,5,NO,NO,NO,,1,4,-1,20,NO
5,3,AP,"2 3 4",1,6,1,3,YES,1,5,1,5,NO,NO,NO,,1,4,-1,20,NO
5,3,COPRIME,"3 1 2",1,4,1,4,YES,1,5,1,5,NO,NO,NO,,1,4,-1,20,NO
5,3,COPRIME,"3 1 2",1,4,1,4,YES,1,5,1,5,NO,NO,NO,,1,4,-1,20,NO
5,3,COPRIME,"1 4 2",1,3,1,3,YES,1,5,1,5,NO,NO,NO,,1,4,-1,20,NO
5,3,CLUSTER,"1 2 3",1,4,1,4,YES,1,5,1,5,NO,NO,NO,,1,4,-1,20,NO
5,3,CLUSTER,"4 2 1",1,3,1,3,YES,1,5,1,5,NO,NO,NO,,1,4,-1,20,NO
5,3,CLUSTER,"4 3 2",1,6,1,3,YES,1,5,1,5,NO,NO,NO,,1,4,-1,20,NO
5,4,AP,"1 2 3 4",1,5,1,5,YES,1,5,1,5,YES,YES,YES,,1,5,0,1,NO
5,4,COPRIME,"4 1 3 2",1,5,1,5,YES,1,5,1,5,YES,YES,YES,,1,5,0,1,NO
5,4,COPRIME,"1 3 2 4",1,5,1,5,YES,1,5,1,5,YES,YES,YES,,1,5,0,1,NO
5,4,COPRIME,"1 3 2 4",1,5,1,5,YES,1,5,1,5,YES,YES,YES,,1,5,0,1,NO
5,4,CLUSTER,"4 2 3 1",1,5,1,5,YES,1,5,1,5,YES,YES,YES,,1,5,0,1,NO
5,4,CLUSTER,"2 1 3 4",1,5,1,5,YES,1,5,1,5,YES,YES,YES,,1,5,0,1,NO
