release	Dmax	y_ln	sigma_ln	r0	r1	r2	r3	r4	eps	z	chi2	dof	chi2_dof	k	maxQ	L1	BIC	bucketN	stab	orbit	mults
2022	7	-4.92024365835	1.37035999084e-10	0.5	0	0	0	-0.333333333333	0.0450207452228	328532250.823	1.07933439831e+17	1	1.07933439831e+17	2	3	0.833333333333	1.07933e+17	6	8	480	0.500000000000:1,0.333333333333:1
2022	9	-4.92024365835	1.37035999084e-10	0.428571428571	0	0	0	-0.375	0.00671759142613	49020633.053	2.40302246492e+15	1	2.40302246492e+15	2	8	0.803571428571	2.40302e+15	1	8	480	0.428571428571:1,0.375000000000:1
2022	11	-4.92024365835	1.37035999084e-10	0.428571428571	0	0	0	-0.375	0.00671759142613	49020633.053	2.40302246492e+15	1	2.40302246492e+15	2	8	0.803571428571	2.40302e+15	1	8	480	0.428571428571:1,0.375000000000:1
2022	12	-4.92024365835	1.37035999084e-10	0.428571428571	0	0	0	-0.375	0.00671759142613	49020633.053	2.40302246492e+15	1	2.40302246492e+15	2	8	0.803571428571	2.40302e+15	1	8	480	0.428571428571:1,0.375000000000:1
2018	7	-4.92024365935	3.15182798208e-10	0.5	0	0	0	-0.333333333333	0.0450207442224	142840105.737	2.04032958069e+16	1	2.04032958069e+16	2	3	0.833333333333	2.04033e+16	6	8	480	0.500000000000:1,0.333333333333:1
2018	9	-4.92024365935	3.15182798208e-10	0.428571428571	0	0	0	-0.375	0.00671759042577	21313315.5235	4.54257418603e+14	1	4.54257418603e+14	2	8	0.803571428571	4.54257e+14	1	8	480	0.428571428571:1,0.375000000000:1
2018	11	-4.92024365935	3.15182798208e-10	0.428571428571	0	0	0	-0.375	0.00671759042577	21313315.5235	4.54257418603e+14	1	4.54257418603e+14	2	8	0.803571428571	4.54257e+14	1	8	480	0.428571428571:1,0.375000000000:1
2018	12	-4.92024365935	3.15182798208e-10	0.428571428571	0	0	0	-0.375	0.00671759042577	21313315.5235	4.54257418603e+14	1	4.54257418603e+14	2	8	0.803571428571	4.54257e+14	1	8	480	0.428571428571:1,0.375000000000:1
2014	7	-4.92024365874	3.97404397501e-10	0.5	0	0	0	-0.333333333333	0.0450207448254	113286981.998	1.28339402901e+16	1	1.28339402901e+16	2	3	0.833333333333	1.28339e+16	6	8	480	0.500000000000:1,0.333333333333:1
2014	9	-4.92024365874	3.97404397501e-10	0.428571428571	0	0	0	-0.375	0.00671759102873	16903665.5633	2.85733909476e+14	1	2.85733909476e+14	2	8	0.803571428571	2.85734e+14	1	8	480	0.428571428571:1,0.375000000000:1
2014	11	-4.92024365874	3.97404397501e-10	0.428571428571	0	0	0	-0.375	0.00671759102873	16903665.5633	2.85733909476e+14	1	2.85733909476e+14	2	8	0.803571428571	2.85734e+14	1	8	480	0.428571428571:1,0.375000000000:1
2014	12	-4.92024365874	3.97404397501e-10	0.428571428571	0	0	0	-0.375	0.00671759102873	16903665.5633	2.85733909476e+14	1	2.85733909476e+14	2	8	0.803571428571	2.85734e+14	1	8	480	0.428571428571:1,0.375000000000:1
