key	central_re[c_r_BPS]	central_im[c_r_BPS]	sigma_re[c_r_BPS]	sigma_im[c_r_BPS]	abs_central[c_r_BPS]	sigma_abs[c_r_BPS]	central_re[Abs_c_r_BPS]	central_im[Abs_c_r_BPS]	sigma_re[Abs_c_r_BPS]	sigma_im[Abs_c_r_BPS]	abs_central[Abs_c_r_BPS]	sigma_abs[Abs_c_r_BPS]
-6	-2.013004312318846e-05	-5.234317982403847e-05	3.275654127231154e-05	8.453991396896153e-05	5.608054127977951e-05	9.066386292882476e-05	6482300000.000073	0	6482299999.999927	0	6482300000.000073	6482299999.999927
-5	3.304967240006154e-05	8.404332577596153e-05	2.042317425093846e-05	5.184659163103846e-05	9.030814721405699e-05	5.572408873869778e-05	6482300000.000073	0	6482299999.999927	0	6482300000.000073	6482299999.999927
-4	-2.740423143038846e-05	-7.025088789953847e-05	4.003072957951154e-05	0.0001024476220444615	7.540675799266145e-05	0.0001099907754998717	6482300000.000093	0	6482299999.999907	0	6482300000.000093	6482299999.999907
-3	8.215519504806154e-05	0.0002091654566629615	6.952869689893845e-05	0.0001769687225180385	0.0002247213036950665	0.0001901372349356583	6482300000.000208	0	6482299999.999792	0	6482300000.000208	6482299999.999792
-2	4.634557262501154e-05	0.0001176332187284615	3.371907447588846e-05	8.543648458353847e-05	0.00012643372275765	9.184969199741473e-05	6482300000.000109	0	6482299999.999891	0	6482300000.000109	6482299999.999891
-1	4.641917883686154e-05	0.0001178924092459615	3.379268068773846e-05	8.569567510103847e-05	0.0001267018560310219	9.211781463551725e-05	6482300000.00011	0	6482299999.99989	0	6482300000.00011	6482299999.99989
0	8.222710431306155e-05	0.0002094783658014616	6.960060616393846e-05	0.0001772816316565385	0.0002250388464744744	0.0001904547746345842	6482300000.000208	0	6482299999.999792	0	6482300000.000208	6482299999.999792
1	-2.763429795693846e-05	-6.979690188803846e-05	4.026079610606154e-05	0.0001019936360329615	7.506838173786165e-05	0.0001096522724003754	6482300000.000093	0	6482299999.999907	0	6482300000.000093	6482299999.999907
2	3.275654127231154e-05	8.453991396896153e-05	2.013004312318846e-05	5.234317982403847e-05	9.066414975062672e-05	5.608036386542171e-05	6482300000.000073	0	6482299999.999927	0	6482300000.000073	6482299999.999927
3	-2.042317425093846e-05	-5.184659163103846e-05	3.304967240006154e-05	8.404332577596153e-05	5.57240981106008e-05	9.030813202566945e-05	6482300000.000073	0	6482299999.999927	0	6482300000.000073	6482299999.999927
4	4.003072957951154e-05	0.0001024476220444615	2.740423143038846e-05	7.025088789953847e-05	0.0001099907931293925	7.540674590633159e-05	6482300000.000093	0	6482299999.999907	0	6482300000.000093	6482299999.999907
5	-6.952869689893845e-05	-0.0001769687225180385	8.215519504806154e-05	0.0002091654566629615	0.0001901372358117445	0.000224721302659629	6482300000.000208	0	6482299999.999792	0	6482300000.000208	6482299999.999792
6	-3.371907447588846e-05	-8.543648458353847e-05	4.634557262501154e-05	0.0001176332187284615	9.184970811877258e-05	0.0001264337005661446	6482300000.000109	0	6482299999.999891	0	6482300000.000109	6482299999.999891
