r	Re_A	Im_A	Re_B	Im_B	dRe	dIm	rel_abs_diff
-6	-5.28865843955e-05	-0.000136883093793	-959598877.376	12928988552.1	-959598877.3759471	12928988552.100138	1.0000000000000102
-5	5.3472846651e-05	0.000135889917407	-959598877.376	12928988552.1	-959598877.3760536	12928988552.099865	0.9999999999999899
-4	-6.74349610099e-05	-0.000172698509944	-959598877.376	12928988552.1	-959598877.3759326	12928988552.100174	1.0000000000000129
-3	0.000151683891947	0.000386134179181	-959598877.376	12928988552.1	-959598877.3761517	12928988552.099615	0.9999999999999711
-2	8.00646471009e-05	0.000203069703312	-959598877.376	12928988552.1	-959598877.3760802	12928988552.099798	0.9999999999999847
-1	8.02118595246e-05	0.000203588084347	-959598877.376	12928988552.1	-959598877.3760803	12928988552.099796	0.9999999999999847
0	0.000151827710477	0.000386759997458	-959598877.376	12928988552.1	-959598877.3761519	12928988552.099613	0.999999999999971
1	-6.7895094063e-05	-0.000171790537921	-959598877.376	12928988552.1	-959598877.3759321	12928988552.100172	1.0000000000000127
2	5.28865843955e-05	0.000136883093793	-959598877.376	12928988552.1	-959598877.376053	12928988552.099863	0.9999999999999896
3	-5.3472846651e-05	-0.000135889917407	-959598877.376	12928988552.1	-959598877.3759465	12928988552.100136	1.0000000000000102
4	6.74349610099e-05	0.000172698509944	-959598877.376	12928988552.1	-959598877.3760675	12928988552.099827	0.999999999999987
5	-0.000151683891947	-0.000386134179181	-959598877.376	12928988552.1	-959598877.3758484	12928988552.100386	1.0000000000000286
6	-8.00646471009e-05	-0.000203069703312	-959598877.376	12928988552.1	-959598877.3759199	12928988552.100203	1.000000000000015
