r	Re_c_r	Im_c_r	Abs_c_r
-6	-959598877.376	12928988552.1	12964550705.2
-5	-959598877.376	12928988552.1	12964550705.2
-4	-959598877.376	12928988552.1	12964550705.2
-3	-959598877.376	12928988552.1	12964550705.2
-2	-959598877.376	12928988552.1	12964550705.2
-1	-959598877.376	12928988552.1	12964550705.2
0	-959598877.376	12928988552.1	12964550705.2
1	-959598877.376	12928988552.1	12964550705.2
2	-959598877.376	12928988552.1	12964550705.2
3	-959598877.376	12928988552.1	12964550705.2
4	-959598877.376	12928988552.1	12964550705.2
5	-959598877.376	12928988552.1	12964550705.2
6	-959598877.376	12928988552.1	12964550705.2
