r	Re_c_r	Im_c_r	Abs_c_r
-6	9.70537472945e-08	-1.00925089481e-08	9.75770905529e-08
-5	4.2118628636e-07	-1.09038626226e-06	1.1689055089e-06
-4	2.69248872298e-07	-4.60084532907e-07	5.33078542669e-07
-3	1.96332937602e-07	3.57900092037e-08	1.99568402174e-07
-2	4.01293453689e-08	-6.67978525894e-07	6.69182841543e-07
-1	0.00019187085297	0.00048848328915	0.000524814584399
0	5.05076175669e-07	1.06985303153e-07	5.16282672883e-07
1	0.000192100291464	0.000489173123045	0.000525540546761
2	-9.70537472951e-08	1.00925089478e-08	9.75770905535e-08
3	-4.2118628636e-07	1.09038626226e-06	1.1689055089e-06
4	-2.69248872298e-07	4.60084532906e-07	5.33078542668e-07
5	-1.96332937602e-07	-3.57900092044e-08	1.99568402174e-07
6	-4.01293453687e-08	6.67978525893e-07	6.69182841542e-07
