r	Re_c_r_BPS	Im_c_r_BPS	Abs_c_r_BPS
-6	-5.28865843955e-05	-0.000136883093793	0.000146744581417
-5	5.3472846651e-05	0.000135889917407	0.000146032239529
-4	-6.74349610099e-05	-0.000172698509944	0.000185397543952
-3	0.000151683891947	0.000386134179181	0.000414858539032
-2	8.00646471009e-05	0.000203069703312	0.000218283421539
-1	8.02118595246e-05	0.000203588084347	0.000218819675753
0	0.000151827710477	0.000386759997458	0.000415493621253
1	-6.7895094063e-05	-0.000171790537921	0.000184720688384
2	5.28865843955e-05	0.000136883093793	0.000146744581417
3	-5.3472846651e-05	-0.000135889917407	0.000146032239529
4	6.74349610099e-05	0.000172698509944	0.000185397543952
5	-0.000151683891947	-0.000386134179181	0.000414858539032
6	-8.00646471009e-05	-0.000203069703312	0.000218283421539
