r	Re_c_r_BPS	Im_c_r_BPS	Abs_c_r_BPS
-6	1.262649814912308e-05	3.219673414492307e-05	12964550705.2
-5	1.262649814912308e-05	3.219673414492307e-05	12964550705.2
-4	1.262649814912308e-05	3.219673414492307e-05	12964550705.2
-3	1.262649814912308e-05	3.219673414492307e-05	12964550705.2
-2	1.262649814912308e-05	3.219673414492307e-05	12964550705.2
-1	1.262649814912308e-05	3.219673414492307e-05	12964550705.2
0	1.262649814912308e-05	3.219673414492307e-05	12964550705.2
1	1.262649814912308e-05	3.219673414492307e-05	12964550705.2
2	1.262649814912308e-05	3.219673414492307e-05	12964550705.2
3	1.262649814912308e-05	3.219673414492307e-05	12964550705.2
4	1.262649814912308e-05	3.219673414492307e-05	12964550705.2
5	1.262649814912308e-05	3.219673414492307e-05	12964550705.2
6	1.262649814912308e-05	3.219673414492307e-05	12964550705.2
